Unnamed: 0,image_id,img_filename,y,split,place
0,0,img_align_celeba/000001.jpg,0,0,0
1,1,img_align_celeba/000002.jpg,0,0,0
2,2,img_align_celeba/000003.jpg,0,0,1
3,3,img_align_celeba/000004.jpg,0,0,0
4,4,img_align_celeba/000005.jpg,0,0,0
5,5,img_align_celeba/000006.jpg,0,0,0
6,6,img_align_celeba/000007.jpg,0,0,1
7,7,img_align_celeba/000008.jpg,0,0,1
8,8,img_align_celeba/000009.jpg,0,0,0
9,9,img_align_celeba/000010.jpg,0,0,0
10,10,img_align_celeba/000011.jpg,0,0,0
11,11,img_align_celeba/000012.jpg,0,0,1
12,12,img_align_celeba/000013.jpg,1,0,1
13,13,img_align_celeba/000014.jpg,0,0,0
14,14,img_align_celeba/000015.jpg,0,0,1
15,15,img_align_celeba/000016.jpg,0,0,1
16,16,img_align_celeba/000017.jpg,0,0,0
17,17,img_align_celeba/000018.jpg,1,0,0
18,18,img_align_celeba/000019.jpg,1,0,0
19,19,img_align_celeba/000020.jpg,0,0,1
20,20,img_align_celeba/000021.jpg,0,0,1
21,21,img_align_celeba/000022.jpg,1,0,0
22,22,img_align_celeba/000023.jpg,0,0,1
23,23,img_align_celeba/000024.jpg,1,0,0
24,24,img_align_celeba/000025.jpg,0,0,1
25,25,img_align_celeba/000026.jpg,0,0,0
26,26,img_align_celeba/000027.jpg,0,0,0
27,27,img_align_celeba/000028.jpg,0,0,0
28,28,img_align_celeba/000029.jpg,1,0,0
29,29,img_align_celeba/000030.jpg,0,0,1
30,30,img_align_celeba/000031.jpg,0,0,0
31,31,img_align_celeba/000032.jpg,0,0,1
32,32,img_align_celeba/000033.jpg,0,0,1
33,33,img_align_celeba/000034.jpg,0,0,0
34,34,img_align_celeba/000035.jpg,0,0,0
35,35,img_align_celeba/000036.jpg,0,0,1
36,36,img_align_celeba/000037.jpg,0,0,1
37,37,img_align_celeba/000038.jpg,0,0,1
38,38,img_align_celeba/000039.jpg,0,0,0
39,39,img_align_celeba/000040.jpg,0,0,0
40,40,img_align_celeba/000041.jpg,0,0,1
41,41,img_align_celeba/000042.jpg,0,0,0
42,42,img_align_celeba/000043.jpg,0,0,0
43,43,img_align_celeba/000044.jpg,0,0,0
44,44,img_align_celeba/000045.jpg,0,0,0
45,45,img_align_celeba/000046.jpg,0,0,0
46,46,img_align_celeba/000047.jpg,0,0,0
47,47,img_align_celeba/000048.jpg,0,0,1
48,48,img_align_celeba/000049.jpg,0,0,1
49,49,img_align_celeba/000050.jpg,0,0,1
50,50,img_align_celeba/000051.jpg,0,0,1
51,51,img_align_celeba/000052.jpg,0,0,1
52,52,img_align_celeba/000053.jpg,0,0,1
53,53,img_align_celeba/000054.jpg,1,0,0
54,54,img_align_celeba/000055.jpg,0,0,1
55,55,img_align_celeba/000056.jpg,0,0,1
56,56,img_align_celeba/000057.jpg,0,0,0
57,57,img_align_celeba/000058.jpg,0,0,0
58,58,img_align_celeba/000059.jpg,0,0,0
59,59,img_align_celeba/000060.jpg,0,0,1
60,60,img_align_celeba/000061.jpg,0,0,1
61,61,img_align_celeba/000062.jpg,0,0,0
62,62,img_align_celeba/000063.jpg,0,0,0
63,63,img_align_celeba/000064.jpg,0,0,1
64,64,img_align_celeba/000065.jpg,0,0,1
65,65,img_align_celeba/000066.jpg,0,0,0
66,66,img_align_celeba/000067.jpg,0,0,1
67,67,img_align_celeba/000068.jpg,0,0,1
68,68,img_align_celeba/000069.jpg,0,0,1
69,69,img_align_celeba/000070.jpg,0,0,1
70,70,img_align_celeba/000071.jpg,1,0,0
71,71,img_align_celeba/000072.jpg,0,0,1
72,72,img_align_celeba/000073.jpg,0,0,0
73,73,img_align_celeba/000074.jpg,0,0,0
